City_ID,City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date
0,sesheke,-17.4759,24.2968,24.63,50,29,2.42,ZM,1702321373
1,edinburgh of the seven seas,-37.0676,-12.3116,13.82,83,100,9.76,SH,1702321375
2,malanje,-9.5402,16.341,17.54,97,100,0.56,AO,1702321377
3,adamstown,-25.066,-130.1015,21.45,61,2,2.39,PN,1702321377
4,tiksi,71.6872,128.8694,-22.44,100,100,4.08,RU,1702321377
5,sinabang,2.4803,96.3801,25.42,86,93,0.73,ID,1702321379
6,waitangi,-43.9535,-176.5597,14.34,87,100,2.68,NZ,1702321379
7,west island,-12.1568,96.8225,25.99,78,40,2.57,CC,1702321379
8,grytviken,-54.2811,-36.5092,4.44,76,96,5.57,GS,1702321380
9,albany,42.6001,-73.9662,4.7,74,10,5.81,US,1702321363
10,rivera,-30.9053,-55.5508,26.67,55,0,3.68,UY,1702321380
11,diu,20.7141,70.9822,22.2,52,73,1.71,IN,1702321381
12,stanley,54.868,-1.6985,2.1,93,20,2.57,GB,1702321112
13,settat,33.0007,-7.6204,18.9,50,97,1.61,MA,1702321381
14,kodiak,57.79,-152.4072,-1.27,64,0,1.54,US,1702321381
15,severobaykal'sk,55.65,109.3167,-24.16,85,74,3.08,RU,1702321382
16,abou el hassan,36.4166,1.1962,17.69,59,31,2.42,DZ,1702321382
17,thompson,55.7435,-97.8558,-9.91,79,75,7.2,CA,1702321120
18,badger,64.8,-147.5333,-9.07,89,100,0.0,US,1702321210
19,anadyr,64.75,177.4833,-25.56,75,0,4.0,RU,1702321382
20,port-aux-francais,-49.35,70.2167,5.32,95,100,7.89,TF,1702321382
21,hawaiian paradise park,19.5933,-154.9731,25.5,95,100,3.6,US,1702321382
22,puerto ayora,-0.7393,-90.3518,27.98,78,73,4.08,EC,1702321383
23,luanda,-8.8368,13.2343,27.0,76,20,2.57,AO,1702321383
24,nenjiang,49.1833,125.2167,-32.06,96,12,0.97,CN,1702321383
25,launceston,-41.45,147.1667,13.22,94,40,2.06,AU,1702321383
26,trelew,-43.249,-65.3051,22.05,34,77,9.09,AR,1702321102
27,port mathurin,-19.6833,63.4167,26.25,75,100,3.5,MU,1702321280
28,ust-nera,64.5667,143.2,-20.83,100,100,4.15,RU,1702321384
29,meadow lakes,61.6247,-149.6011,1.93,75,100,3.6,US,1702321384
30,invercargill,-46.4,168.35,8.07,75,73,8.75,NZ,1702321384
31,boden,65.8252,21.6886,-7.0,99,99,1.69,SE,1702321384
32,el hed,36.65,4.7736,13.4,58,24,2.13,DZ,1702321384
33,bilibino,68.0546,166.4372,-19.08,95,100,1.56,RU,1702321384
34,ivdel',60.6911,60.4206,-31.01,99,100,1.79,RU,1702321385
35,chinde,26.8418,88.0763,9.94,67,2,2.25,NP,1702321385
36,saipan,15.1355,145.701,27.39,83,40,4.63,MP,1702321385
37,pisco,-13.7,-76.2167,24.03,64,0,3.6,PE,1702321385
38,margaret river,-33.95,115.0667,14.97,65,0,3.57,AU,1702321132
39,kingston,17.997,-76.7936,31.53,71,20,7.72,JM,1702321386
40,reo,12.3167,-2.4667,27.06,12,0,3.84,BF,1702321093
41,hermanus,-34.4187,19.2345,16.12,83,0,0.36,ZA,1702321386
42,longyearbyen,78.2186,15.6401,-5.09,68,75,6.69,SJ,1702321386
43,yellowknife,62.456,-114.3525,-23.71,84,20,3.09,CA,1702321356
44,kljuc,44.535,16.7722,7.58,83,100,1.74,BA,1702321386
45,namtsy,62.7161,129.6658,-30.67,92,100,3.47,RU,1702321386
46,ilulissat,69.2167,-51.1,3.01,60,75,8.23,GL,1702321387
47,papatowai,-46.5619,169.4708,6.91,86,56,5.67,NZ,1702321387
48,villa bruzual,9.3328,-69.1208,33.36,44,2,1.01,VE,1702321387
49,afaahiti,-17.75,-149.2833,27.93,80,85,9.85,PF,1702321387
50,cowra,-33.8333,148.6833,19.42,79,43,3.51,AU,1702321387
51,puerto natales,-51.7236,-72.4875,13.25,44,75,10.29,CL,1702321388
52,itacare,-14.2775,-38.9967,27.75,65,100,4.01,BR,1702321388
53,wanning,18.8003,110.3967,21.06,97,9,0.36,CN,1702321388
54,aykhal,66.0,111.5,-27.14,99,100,2.21,RU,1702321388
55,abadiania,-16.2042,-48.7069,25.51,45,100,3.36,BR,1702321389
56,bamboo flat,11.7,92.7167,27.05,83,40,1.03,IN,1702321389
57,praia da vitoria,38.7333,-27.0667,15.42,88,20,4.27,PT,1702321389
58,arteche,12.2645,125.4048,25.42,90,72,2.87,PH,1702321389
59,san antonio de pale,-1.4014,5.6325,24.98,89,100,2.27,GQ,1702321389
60,sao mateus do sul,-25.8742,-50.3828,27.35,42,0,0.32,BR,1702321389
61,mpika,-11.8343,31.4529,18.44,90,91,0.57,ZM,1702321389
62,enewetak,11.3474,162.3373,27.63,79,13,9.1,MH,1702321389
63,ushuaia,-54.8,-68.3,11.81,37,0,5.14,AR,1702321390
64,blackmans bay,-43.0167,147.3167,9.18,92,7,1.05,AU,1702321390
65,sibsagar,26.9833,94.6333,16.54,81,0,0.74,IN,1702321390
66,maridi,4.9158,29.4742,26.76,44,19,1.0,SS,1702321390
67,dunay,42.8803,132.3375,-12.38,57,100,10.49,RU,1702321390
68,kuraymah,18.55,31.85,23.78,19,100,4.51,SD,1702321390
69,tazovsky,67.4667,78.7,-25.43,96,100,4.08,RU,1702321391
70,cedeira,43.6797,-8.0209,17.21,76,100,10.26,ES,1702321391
71,doka,13.5167,35.7667,27.67,24,100,3.72,SD,1702321391
