City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,26.21,76,22,4.76,MU,1702176286
1,talnakh,69.4865,88.3972,-34.38,99,100,3.45,RU,1702176316
2,san antonio de pale,-1.4014,5.6325,27.16,80,51,5.23,GQ,1702176341
3,ust-nera,64.5667,143.2,-16.26,99,100,1.88,RU,1702176319
4,new norfolk,-42.7826,147.0587,21.51,24,8,1.55,AU,1702176402
5,constitucion,-35.3333,-72.4167,16.05,56,0,4.95,CL,1702176560
6,zouerate,22.7187,-12.4521,19.66,25,100,4.34,MR,1702176181
7,petropavlovsk-kamchatsky,53.0452,158.6483,0.25,95,100,6.71,RU,1702176314
8,dedougou,12.4667,-3.4667,21.52,16,49,3.28,BF,1702176560
9,bethel,41.3712,-73.414,9.17,87,20,0.0,US,1702176291
10,waitangi,-43.9535,-176.5597,12.68,93,100,0.89,NZ,1702176289
11,invercargill,-46.4,168.35,13.22,55,25,7.36,NZ,1702176294
12,adamstown,-25.066,-130.1015,21.56,79,100,2.77,PN,1702176560
13,altamira,-3.2033,-52.2064,25.38,79,93,0.84,BR,1702176397
14,puerto natales,-51.7236,-72.4875,8.16,93,100,1.41,CL,1702176297
15,grytviken,-54.2811,-36.5092,3.99,87,29,5.25,GS,1702176560
16,bel ombre,-4.6167,55.4167,27.91,74,75,4.63,SC,1702176561
17,isafjordur,66.0755,-23.124,-2.67,87,77,2.33,IS,1702176286
18,margaret river,-33.95,115.0667,23.76,29,0,0.34,AU,1702176291
19,college,64.8569,-147.8028,-24.19,74,20,0.0,US,1702176298
20,the bottom,17.6259,-63.2492,25.31,75,29,10.41,BQ,1702176561
21,albany,42.6001,-73.9662,9.36,85,100,2.65,US,1702176561
22,yichun,47.7,128.9,-21.78,77,28,5.56,CN,1702176561
23,tazovsky,67.4667,78.7,-38.11,100,52,1.97,RU,1702176322
24,antofagasta,-23.65,-70.4,17.6,81,58,1.46,CL,1702176251
25,punta arenas,-53.15,-70.9167,9.06,81,100,6.17,CL,1702176291
26,robinson,31.4677,-97.1147,13.32,49,0,9.26,US,1702176562
27,kem',64.9555,34.5793,-14.42,90,100,5.55,RU,1702176562
28,tamanrasset,22.785,5.5228,7.95,29,0,1.03,DZ,1702176562
29,karratha,-20.7377,116.8463,33.0,20,10,10.29,AU,1702176304
30,papatowai,-46.5619,169.4708,13.86,50,64,6.99,NZ,1702176562
31,port-aux-francais,-49.35,70.2167,3.12,79,96,11.59,TF,1702176563
32,kurchum,48.5722,83.6542,-16.29,82,87,1.19,KZ,1702176563
33,mata-utu,-13.2816,-176.1745,28.58,68,95,2.24,WF,1702176563
34,port saint john's,-31.6229,29.5448,18.95,88,100,5.41,ZA,1702176563
35,priozersk,61.0393,30.1291,-9.44,84,100,4.7,RU,1702176563
36,ribeira grande,38.5167,-28.7,18.21,90,100,9.39,PT,1702176289
37,olonkinbyen,70.9221,-8.7187,-5.76,63,99,3.98,SJ,1702176299
38,jinka,5.65,36.65,18.94,63,77,0.91,ET,1702176563
39,codrington,-38.2667,141.9667,15.63,64,99,7.63,AU,1702176339
40,suwayr,30.1171,40.3893,12.52,52,23,3.63,SA,1702176564
41,touros,-5.1989,-35.4608,26.45,71,80,6.51,BR,1702176344
42,tarko-sale,64.9225,77.785,-39.67,100,36,2.17,RU,1702176564
43,mont-dore,-22.2833,166.5833,29.99,99,100,8.01,NC,1702176329
44,nova xavantina,-14.6667,-52.35,28.33,44,96,0.66,BR,1702176564
45,geraldton,-28.7667,114.6,29.23,14,0,11.32,AU,1702176107
46,qaqortoq,60.7167,-46.0333,-5.86,76,77,2.46,GL,1702176337
47,tiksi,71.6872,128.8694,-24.15,99,100,1.93,RU,1702176288
48,mamadysh,55.7152,51.408,-23.4,100,75,1.98,RU,1702176564
49,iranshahr,27.2025,60.6848,10.19,25,0,0.0,IR,1702176528
50,stanley,54.868,-1.6985,7.38,91,40,6.17,GB,1702176289
51,chonchi,-42.6128,-73.8092,10.56,94,61,1.24,CL,1702176311
52,masterton,-40.9597,175.6575,14.94,97,100,4.04,NZ,1702176565
53,wailua homesteads,22.0669,-159.378,25.44,76,0,3.09,US,1702176326
54,hammerfest,70.6634,23.6821,-5.75,58,99,6.17,NO,1702176293
55,nianzishan,47.5167,122.8833,-15.78,53,0,6.85,CN,1702176565
56,duba,27.3513,35.6901,21.85,41,38,1.62,SA,1702176490
57,haenam,34.5711,126.5989,17.62,71,5,3.01,KR,1702176377
58,lindsdal,56.7333,16.3,3.25,97,100,2.57,SE,1702176565
59,ust'-kulom,61.6864,53.6902,-29.11,100,96,0.56,RU,1702176326
60,haiku-pauwela,20.9219,-156.3051,26.01,71,40,9.26,US,1702176338
61,blackmans bay,-43.0167,147.3167,20.85,49,0,0.45,AU,1702176290
62,tofol,5.3248,163.0078,30.88,70,75,9.26,FM,1702176374
63,guiuan,11.0333,125.7247,27.98,78,93,6.09,PH,1702176565
64,amboasary,-25.0333,46.3833,23.05,80,0,0.47,MG,1702176565
65,bomdila,27.25,92.4,8.21,74,60,0.7,IN,1702176566
66,jamestown,42.097,-79.2353,13.64,85,100,4.12,US,1702176308
67,sitka,57.0531,-135.33,2.94,93,100,1.54,US,1702176320
68,west island,-12.1568,96.8225,26.99,78,75,7.2,CC,1702176298
69,cova figueira,14.8905,-24.2934,22.86,65,89,3.7,CV,1702176370
70,edinburgh of the seven seas,-37.0676,-12.3116,13.28,79,100,7.06,SH,1702176298
71,udachny,66.4167,112.4,-29.2,82,100,2.2,RU,1702176351
72,susuman,62.7833,148.1667,-13.34,93,100,0.45,RU,1702176387
73,iqaluit,63.7506,-68.5145,-5.15,93,100,4.63,CA,1702176307
74,zeya,53.75,127.2667,-26.4,89,100,3.18,RU,1702176566
75,el jadid,33.2549,-8.506,17.52,85,2,6.85,MA,1702176566
76,jonuta,18.0833,-92.1333,23.85,81,77,2.49,MX,1702176324
77,cienfuegos,22.1461,-80.4356,23.08,88,61,3.09,CU,1702176566
78,kayangel,8.0823,134.7173,28.61,76,100,5.83,PW,1702176370
79,lihue,21.9789,-159.3672,25.77,69,0,3.09,US,1702176291
80,cockburn town,21.4612,-71.1419,26.44,78,92,12.3,TC,1702176347
81,bredasdorp,-34.5322,20.0403,14.61,88,38,1.84,ZA,1702176287
82,whitehorse,60.7161,-135.0538,-9.95,90,100,3.6,CA,1702176298
83,acajutla,13.5928,-89.8275,26.51,73,80,3.19,SV,1702176567
84,port elizabeth,-33.918,25.5701,13.94,87,0,2.57,ZA,1702176320
85,tolanaro,-25.0319,46.9987,22.04,88,20,5.14,MG,1702176300
86,sal rei,16.1833,-22.9167,24.54,76,0,3.89,CV,1702176567
87,adam,22.3756,57.5233,16.47,68,10,0.95,OM,1702176567
88,ulladulla,-35.35,150.4667,24.87,89,100,3.05,AU,1702176567
89,chak two hundred forty-nine thal development authority,31.1796,71.2095,14.92,34,11,0.8,PK,1702176568
90,vilyuchinsk,52.9306,158.4028,1.07,98,100,8.45,RU,1702176311
91,atafu village,-8.5421,-172.5159,29.21,75,99,4.14,TK,1702176568
92,antsiranana,-12.2787,49.2917,25.79,84,97,6.38,MG,1702176568
93,saipan,15.1355,145.701,30.39,70,40,7.2,MP,1702176350
94,astrakhan,46.3497,48.0408,-3.07,80,75,9.0,RU,1702176568
95,dakhla,23.6848,-15.958,20.59,57,94,4.93,EH,1702176568
96,polyarnyy,69.1989,33.4478,-14.08,94,65,7.12,RU,1702176389
97,glace bay,46.1969,-59.957,-0.62,93,20,2.06,CA,1702176326
98,utrik,11.2278,169.8474,27.29,80,64,8.39,MH,1702176332
99,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.93,PT,1702176569
100,manokwari,-0.8667,134.0833,28.96,73,88,3.98,ID,1702176569
101,hawaiian paradise park,19.5933,-154.9731,26.73,84,0,3.6,US,1702176298
102,buenavista,8.9769,125.4089,30.18,63,84,1.21,PH,1702176569
103,kodiak,57.79,-152.4072,-7.27,73,0,2.57,US,1702176201
104,mezhova,48.2532,36.7347,0.55,88,100,5.2,UA,1702176569
105,st. john's,47.5649,-52.7093,2.1,87,75,10.8,CA,1702176260
106,avarua,-21.2078,-159.775,26.03,83,100,10.29,CK,1702176311
107,prince albert,53.2001,-105.7677,-11.03,85,0,4.12,CA,1702176569
108,itaituba,-4.2761,-55.9836,23.9,98,92,1.01,BR,1702176569
